,video,Short-term-pred,Long-term-pred,Short-term-true,Long-term-true
0,video6005.webm,0.86225224,0.78079045,0.861,0.75
1,video6006.webm,0.84722584,0.76769364,0.956,0.833
2,video6007.webm,0.8668015,0.78484786,0.922,0.722
3,video6009.webm,0.8101842,0.73856807,0.895,0.6920000000000001
4,video6010.webm,0.8572588,0.776162,0.8390000000000001,0.8
5,video6011.webm,0.8415834,0.7628974,0.9229999999999999,0.625
6,video6012.webm,0.85445726,0.77372086,0.5920000000000001,0.267
7,video6013.webm,0.8354758,0.758103,0.983,0.7829999999999999
8,video6015.webm,0.8258847,0.74985147,0.8959999999999999,0.818
9,video6016.webm,0.8194276,0.74493265,0.831,0.583
10,video6017.webm,0.827754,0.7516879,0.82,0.81
11,video6018.webm,0.87792796,0.79491967,0.861,0.917
12,video6019.webm,0.8942367,0.8105991,0.9209999999999999,0.7
13,video6021.webm,0.858292,0.7769758,0.7390000000000001,0.9
14,video6022.webm,0.8802519,0.7969856,0.951,1.0
15,video6024.webm,0.82721967,0.7511208,0.86,0.727
16,video6026.webm,0.8707875,0.78829217,0.8759999999999999,0.556
17,video6027.webm,0.8694391,0.78699917,0.8420000000000001,0.9
18,video6028.webm,0.8534479,0.7731143,0.89,0.909
19,video6030.webm,0.8455782,0.76601243,0.922,0.813
20,video6031.webm,0.8500772,0.76986146,0.953,0.889
21,video6032.webm,0.8489641,0.7692681,0.893,0.8
22,video6033.webm,0.8910383,0.80713767,0.747,0.889
23,video6034.webm,0.8442574,0.76514447,0.8240000000000001,0.654
24,video6036.webm,0.84657764,0.76701105,0.922,0.75
25,video6037.webm,0.8644453,0.78244376,0.769,0.727
26,video6038.webm,0.83717763,0.75914496,0.922,0.909
27,video6039.webm,0.8704393,0.78770566,0.892,0.8
28,video6040.webm,0.8505987,0.7703978,0.867,0.909
29,video6041.webm,0.8323095,0.755018,0.8690000000000001,0.818
30,video6042.webm,0.8198955,0.74538684,0.816,0.8
31,video6043.webm,0.83463657,0.75733984,0.9309999999999999,0.8
32,video6044.webm,0.8512511,0.7708832,0.9229999999999999,0.818
33,video6047.webm,0.8520533,0.7717476,0.8390000000000001,0.455
